dataset,model,idx,complexity,group,iou,dice
OxfordPet,deeplabv3plus_resnet34,99,0.23280639648437498,Hard,0.752799799044927,0.8432212074597677
OxfordPet,deeplabv3plus_resnet34,100,0.24202728271484375,Hard,0.7292488515377045,0.8274317383766174
OxfordPet,deeplabv3plus_resnet34,101,0.24055938720703124,Hard,0.819755494594574,0.8946948448816935
OxfordPet,deeplabv3plus_resnet34,102,0.2136474609375,Medium,0.6852673689524332,0.8049419522285461
OxfordPet,deeplabv3plus_resnet34,103,0.1991058349609375,Medium,0.7514222661654154,0.8484203219413757
OxfordPet,deeplabv3plus_resnet34,104,0.1446441650390625,Easy,0.7405919233957926,0.833668053150177
OxfordPet,deeplabv3plus_resnet34,105,0.1226531982421875,Easy,0.8174697955449423,0.8906244238217672
OxfordPet,deeplabv3plus_resnet34,106,0.20539398193359373,Medium,0.7145722905794779,0.8233698407808939
OxfordPet,deeplabv3plus_resnet34,107,0.20011444091796873,Medium,0.7234119673569998,0.8176897168159485
OxfordPet,deeplabv3plus_resnet34,108,0.22321014404296874,Medium,0.8136532505353292,0.8902277946472168
OxfordPet,deeplabv3plus_resnet34,109,0.2154541015625,Medium,0.7288890679677328,0.8380241592725118
OxfordPet,deeplabv3plus_resnet34,110,0.22801513671874998,Hard,0.756754199663798,0.8515100280443827
OxfordPet,deeplabv3plus_resnet34,111,0.17666015625,Easy,0.6864865223566691,0.7908400297164917
OxfordPet,deeplabv3plus_resnet34,112,0.23640899658203124,Hard,0.804925819238027,0.8805128137270609
OxfordPet,deeplabv3plus_resnet34,113,0.0877227783203125,Easy,0.8457109530766805,0.9095073739687601
OxfordPet,deeplabv3plus_resnet34,114,0.206329345703125,Medium,0.7960127393404642,0.87855992714564
OxfordPet,deeplabv3plus_resnet34,115,0.1131561279296875,Easy,0.8261448939641317,0.8967659870783488
OxfordPet,deeplabv3plus_resnet34,116,0.13336639404296874,Easy,0.8313213586807251,0.9020546873410543
OxfordPet,deeplabv3plus_resnet34,117,0.15238037109375,Easy,0.7950735886891683,0.8757445017496744
OxfordPet,deeplabv3plus_resnet34,118,0.18275756835937498,Medium,0.7983213464419047,0.8744732737541199
OxfordPet,deeplabv3plus_resnet34,119,0.241729736328125,Hard,0.7964435418446859,0.877687136332194
OxfordPet,segnet_vgg16,0,0.2471893310546875,Hard,0.531208872795105,0.6700687805811564
OxfordPet,segnet_vgg16,1,0.2541152954101562,Hard,0.8399615486462911,0.9076589941978455
OxfordPet,segnet_vgg16,2,0.23454589843749998,Hard,0.7772671182950338,0.8658513228098551
OxfordPet,segnet_vgg16,3,0.2270050048828125,Hard,0.7507010499636332,0.8465471863746643
OxfordPet,segnet_vgg16,4,0.14173736572265624,Easy,0.826675295829773,0.8983691732088724
OxfordPet,segnet_vgg16,5,0.24851837158203124,Hard,0.5616588095823923,0.7063133319218954
OxfordPet,segnet_vgg16,6,0.2511993408203125,Hard,0.8178051908810934,0.8929044802983602
OxfordPet,segnet_vgg16,7,0.1489166259765625,Easy,0.8613844116528829,0.9201861222585043
OxfordPet,segnet_vgg16,8,0.23486785888671874,Hard,0.7735971411069235,0.8615976969401041
OxfordPet,segnet_vgg16,9,0.187646484375,Medium,0.787233293056488,0.8726803859074911
OxfordPet,segnet_vgg16,10,0.22253570556640626,Medium,0.7172008554140726,0.8154929081598917
OxfordPet,segnet_vgg16,11,0.1406280517578125,Easy,0.8006657560666403,0.8790671030680338
OxfordPet,segnet_vgg16,12,0.16244354248046874,Easy,0.5854954918225607,0.7356614867846171
OxfordPet,segnet_vgg16,13,0.18466339111328126,Medium,0.8410590887069702,0.9073172410329183
OxfordPet,segnet_vgg16,14,0.11112823486328124,Easy,0.6833118895689646,0.7910436987876892
OxfordPet,segnet_vgg16,15,0.23689727783203124,Hard,0.6593173444271088,0.7701427539189657
OxfordPet,segnet_vgg16,16,0.15647277832031248,Easy,0.7314299543698629,0.8264634410540262
OxfordPet,segnet_vgg16,17,0.2161773681640625,Medium,0.8824376265207926,0.9332648317019144
OxfordPet,segnet_vgg16,18,0.19587860107421876,Medium,0.8374912738800049,0.9064050118128458
OxfordPet,segnet_vgg16,19,0.12273406982421875,Easy,0.7006782790025076,0.8114181955655416
OxfordPet,segnet_vgg16,20,0.2582305908203125,Hard,0.46100687980651855,0.6184276541074117
OxfordPet,segnet_vgg16,21,0.06302947998046875,Easy,0.7183207869529724,0.8256200154622396
OxfordPet,segnet_vgg16,22,0.2029876708984375,Medium,0.7586803436279297,0.8502848744392395
OxfordPet,segnet_vgg16,23,0.1706512451171875,Easy,0.890995442867279,0.9389687180519104
OxfordPet,segnet_vgg16,24,0.2258148193359375,Hard,0.8175039887428284,0.8906379342079163
OxfordPet,segnet_vgg16,25,0.22142181396484376,Medium,0.8544346888860067,0.914787749449412
OxfordPet,segnet_vgg16,26,0.23341827392578124,Hard,0.8118923505147299,0.8874565362930298
OxfordPet,segnet_vgg16,27,0.2319793701171875,Hard,0.8582064509391785,0.9189803202946981
OxfordPet,segnet_vgg16,28,0.1567657470703125,Easy,0.8598011334737142,0.9192405541737875
OxfordPet,segnet_vgg16,29,0.26130828857421873,Hard,0.7713905970255533,0.860151211420695
OxfordPet,segnet_vgg16,30,0.248321533203125,Hard,0.7887246608734131,0.870039721330007
OxfordPet,segnet_vgg16,31,0.23074951171875,Hard,0.7900033990542094,0.871819535891215
OxfordPet,segnet_vgg16,32,0.1800140380859375,Medium,0.8004405895868937,0.8810178637504578
OxfordPet,segnet_vgg16,33,0.26867523193359377,Hard,0.8633000651995341,0.9227905670801798
OxfordPet,segnet_vgg16,34,0.25756072998046875,Hard,0.8394792477289835,0.9084936380386353
OxfordPet,segnet_vgg16,35,0.25562744140625,Hard,0.8069739937782288,0.8828957279523214
